epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7252,1.87918,4.29831,1.76717,0.02041,0.14286,0.02369,0.01185,2.01673,4.53091,1.68391,1.176e-05,1.176e-05,1.176e-05
2,25.9314,2.31844,4.47018,1.86855,0.02041,0.14286,0.02369,0.01185,2.03127,4.53898,1.65252,1.9698e-05,1.9698e-05,1.9698e-05
3,39.9028,2.23019,4.49167,1.86077,0.02381,0.14286,0.02843,0.01706,2.04361,4.53415,1.68496,1.59936e-05,1.59936e-05,1.59936e-05
